FA 9A EC 9A EC 9A EC 9A D8 9A CE 9A EC 9A D8 9A E2 9A A6 9A CE 9A EC 9A CE 9B 00 9A CE 9A D8 FF 
FA 9A D8 9A E2 9A 56 9B 00 9A E2 9A EC 9B 0A 9A D8 9A E2 9A EC 9A D8 9A C4 9B 00 9B 00 9B 00 FF 
FA 9A EC 9A EC 9A D8 9A E2 9A D8 9B 00 9A A6 9B 00 9A E2 9A CE 9A D8 9A CE 9A D8 9A D8 9A C4 FF 
FA 9A D8 9A BA 9A A6 9A C4 9A A6 9A BA 9A BA 9A 9C 9A A6 9A B0 9A 7E 9A 92 9A 88 9A 92 9A 88 FF 
FA 9A 88 9A 74 9A 74 9A 6A 9A 56 9A 42 9A 38 9A 42 9A 2E 9A 38 9A 24 9A 24 9A 1A 9A 24 9A 1A FF 
FA 99 FC 99 E8 99 FC 9A 10 99 E8 99 DE 99 DE 99 B6 99 B6 99 B6 99 AC 99 AC 99 8E 99 C0 99 8E FF 
FA 99 7A 99 8E 99 84 99 84 99 7A 99 84 99 7A 99 7A 99 7A 99 84 99 84 99 98 99 8E 99 7A 99 98 FF 
FA 99 7A 99 98 99 8E 99 84 99 84 99 66 99 8E 99 8E 99 A2 99 66 99 8E 99 66 99 7A 99 98 99 7A FF 
FA 99 8E 99 84 99 84 99 7A 99 7A 99 66 99 70 99 5C 99 66 99 70 99 52 99 48 99 48 99 34 99 0C FF 
FA 99 0C 98 DA 98 BC 98 B2 98 D0 98 62 98 44 98 26 97 D6 97 D6 97 CC 97 A4 97 5E 97 2C 96 F0 FF 
FA 96 3C 95 CE 95 7E 94 E8 94 20 92 CC 92 04 91 00 8F DE 8E 08 8C 6E 8A C0 87 AA 85 E8 83 C2 FF 
FA 7F EE 7B F2 78 28 6C F2 63 1A 5E 56 56 EA 4C 68 41 E6 39 58 2F 30 1C 5C 17 52 15 F4 0F D2 FF 
FA 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 00 00 00 14 00 00 00 00 00 00 00 00 00 00 00 00 FF 
FA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A FF 
FA 00 00 00 00 00 00 00 00 00 00 00 14 00 14 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF 
FA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF 
FA 00 00 00 14 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF 
FA 00 00 00 00 00 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF 
FA 00 00 00 00 00 28 00 14 00 00 00 00 00 0A 00 00 00 0A 00 0A 00 00 00 0A 00 14 00 0A 00 14 FF 
FA 00 14 00 14 00 50 00 14 00 00 00 00 00 0A 00 14 00 28 00 00 00 0A 00 14 00 0A 00 1E 00 00 FF 
FA 00 00 00 14 00 00 00 28 00 00 00 00 00 00 00 00 00 00 00 00 00 14 00 00 01 40 00 00 00 00 FF 
FA 00 00 00 00 00 00 00 28 00 00 00 00 00 14 00 00 02 80 00 00 00 00 00 00 00 00 00 00 00 00 FF 
FA 00 00 00 50 00 0A 00 00 00 00 01 40 00 0A 00 14 00 00 00 00 00 A0 00 A0 00 A0 00 28 00 14 FF 
FA 00 00 00 00 00 14 00 00 00 A0 00 00 00 00 00 0A 00 00 00 0A 00 0A 00 0A 00 00 00 28 00 00 FF 
FA 00 00 00 14 00 00 00 00 00 00 00 0A 00 0A 00 00 00 0A 00 00 00 00 00 00 00 0A 00 78 00 0A FF 
